Season,Player,Team,GP,MIN,PTS,FGA,FG%,3PA,3P%,FTA,FT%,REB,AST,STL,BLK,TOV
2023-24,LaMelo Ball,CHA,22,32.3,23.9,19.2,0.433,8.9,0.355,4.7,0.865,5.1,8.0,1.8,0.2,3.8
2023-24,Terry Rozier,CHA,30,35.5,23.2,18.3,0.459,7.7,0.358,4.3,0.845,3.9,6.6,1.1,0.4,2.2
2023-24,Miles Bridges,CHA,69,37.4,21.0,17.5,0.462,6.5,0.349,3.1,0.825,7.3,3.3,0.9,0.5,2.0
2023-24,Brandon Miller,CHA,74,32.2,17.3,14.6,0.44,6.7,0.373,2.3,0.827,4.3,2.4,0.9,0.6,1.8
2023-24,Gordon Hayward,CHA,25,31.9,14.5,11.9,0.468,2.4,0.361,3.2,0.765,4.7,4.6,1.1,0.5,2.0
2023-24,Grant Williams,CHA,29,30.6,13.9,9.9,0.503,4.3,0.373,2.9,0.765,5.1,3.2,0.7,0.4,1.9
2023-24,PJ Washington,CHA,44,29.2,13.6,11.6,0.446,5.5,0.324,2.1,0.713,5.3,2.2,0.9,0.7,1.5
2023-24,Mark Williams,CHA,19,26.7,12.7,7.9,0.649,0.0,0.0,3.4,0.719,9.7,1.2,0.8,1.1,0.9
2023-24,Tre Mann,CHA,28,31.0,11.9,9.9,0.453,3.8,0.364,2.1,0.759,4.5,5.2,1.7,0.1,2.0
2023-24,Vasilije Micic,CHA,30,27.2,10.8,9.3,0.437,3.6,0.294,1.9,0.839,2.1,6.2,0.7,0.1,2.3
2023-24,Nick Richards,CHA,67,26.3,9.7,5.6,0.691,0.0,0.0,2.7,0.737,8.0,0.8,0.4,1.1,1.1
2023-24,Seth Curry,CHA,8,19.8,9.0,7.4,0.441,3.5,0.321,1.5,0.917,2.0,1.8,0.6,0.4,0.6
2023-24,Davis Bertans,CHA,28,20.8,8.8,7.4,0.394,6.3,0.375,0.6,0.889,1.8,0.9,0.8,0.3,0.6
2023-24,Cody Martin,CHA,28,26.9,7.5,7.7,0.381,3.1,0.314,1.2,0.606,3.9,3.7,1.1,0.6,1.6
2023-24,Aleksej Pokusevski,CHA,18,19.2,7.4,5.8,0.429,2.4,0.364,2.1,0.757,4.4,1.7,0.8,0.7,0.9
2023-24,Nick Smith Jr.,CHA,51,14.3,5.9,5.7,0.391,2.9,0.432,0.3,0.867,1.4,1.2,0.2,0.1,0.8
2023-24,Bryce McGowens,CHA,59,14.9,5.1,3.9,0.439,1.7,0.333,1.4,0.776,1.7,0.9,0.4,0.2,0.5
2023-24,Theo Maledon,CHA,13,15.4,4.2,5.1,0.288,2.3,0.167,0.9,0.917,1.8,2.2,0.5,0.0,1.2
2023-24,Marques Bolden,CHA,9,13.1,4.1,2.8,0.68,0.1,0.0,0.4,0.75,3.6,0.4,0.3,0.8,0.3
2023-24,James Bouknight,CHA,14,5.8,3.6,2.9,0.439,2.1,0.433,0.1,0.5,0.6,0.4,0.1,0.1,0.1
2023-24,JT Thor,CHA,63,12.4,3.2,2.9,0.437,1.3,0.346,0.3,0.55,2.3,0.5,0.2,0.4,0.2
2023-24,Ish Smith,CHA,43,17.2,3.2,3.7,0.418,0.2,0.5,0.1,0.75,1.8,3.4,0.4,0.1,1.1
2023-24,Leaky Black,CHA,26,10.9,2.7,2.0,0.481,0.8,0.45,0.6,0.667,1.8,0.9,0.3,0.4,0.2
2023-24,Amari Bailey,CHA,10,6.5,2.3,2.4,0.333,0.8,0.125,0.7,0.857,0.9,0.7,0.3,0.0,0.4
2023-24,Nate Mensah,CHA,25,12.3,1.3,1.1,0.429,0.0,0.75,0.5,0.0,2.6,0.4,0.2,0.6,0.6
2023-24,Frank Ntilikina,CHA,5,8.6,1.0,1.8,0.111,1.6,0.125,0.4,1.0,1.2,0.8,0.0,0.0,0.2
