Season,Player,Team,GP,MIN,PTS,FGA,FG%,3PA,3P%,FTA,FT%,REB,AST,STL,BLK,TOV
2025-26,Brandon Miller,CHO,59,30.2,20.4,16.1,0.435,8.2,0.390,3.6,0.892,5.0,3.4,1.0,0.7,2.7
2025-26,LaMelo Ball,CHO,66,27.8,19.6,17.1,0.402,10.0,0.365,2.4,0.894,4.8,7.1,1.2,0.2,2.8
2025-26,Kon Knueppel,CHO,75,31.5,18.8,13.4,0.482,7.9,0.431,2.9,0.862,5.4,3.4,0.7,0.2,2.0
2025-26,Miles Bridges,CHO,71,31.3,17.1,13.7,0.453,5.9,0.323,3.4,0.832,5.8,3.2,0.6,0.4,1.4
2025-26,Coby White,CHO,16,20.0,15.7,11.4,0.456,5.4,0.356,3.9,0.857,3.3,3.3,0.3,0.2,1.8
2025-26,Collin Sexton,CHO,42,22.3,14.2,9.9,0.488,3.5,0.393,3.7,0.877,1.9,3.7,0.9,0.2,2.1
2025-26,Moussa Diabate,CHO,68,26.0,8.1,5.1,0.628,0.0,0.500,2.5,0.659,8.8,1.9,0.8,1.0,1.0
2025-26,Ryan Kalkbrenner,CHO,63,21.5,7.7,4.3,0.751,0.1,0.000,1.7,0.700,5.5,0.8,0.5,1.4,0.9
2025-26,Grant Williams,CHO,31,19.5,6.9,4.9,0.431,3.5,0.391,1.6,0.800,3.8,1.6,0.4,0.4,0.9
2025-26,Tidjane Salaun,CHO,36,15.9,6.2,4.4,0.506,2.3,0.434,1.1,0.650,4.1,0.8,0.4,0.2,0.7
2025-26,PJ Hall,CHO,12,15.6,6.1,6.4,0.348,2.8,0.308,1.1,0.625,2.1,2.5,1.1,0.0,1.7
2025-26,KJ Simpson,CHO,14,15.9,6.0,4.2,0.500,0.2,1.000,2.2,0.808,5.5,0.7,0.3,0.7,1.3
2025-26,Tre Mann,CHO,49,13.4,5.8,6.0,0.356,3.1,0.327,0.6,0.852,1.9,1.8,0.5,0.1,1.1
2025-26,Sion James,CHO,76,22.6,5.3,4.3,0.376,2.7,0.365,1.3,0.842,3.4,2.0,0.6,0.3,0.8
2025-26,Josh Green,CHO,52,16.3,4.6,3.3,0.462,2.5,0.419,0.5,0.893,1.8,0.9,0.7,0.1,0.7
2025-26,Liam McNeeley,CHO,30,12.1,4.4,3.1,0.404,2.0,0.400,1.3,0.821,2.4,0.8,0.2,0.1,0.4
2025-26,Pat Connaughton,CHO,37,7.2,2.8,2.0,0.500,1.3,0.538,0.0,0.000,1.5,0.5,0.3,0.0,0.2
2025-26,Antonio Reeves,CHO,10,6.8,2.7,0.8,0.200,0.2,0.000,0.3,0.250,0.8,0.3,0.1,0.0,0.1
2025-26,Mason Plumlee,CHO,14,8.9,1.9,2.7,0.125,2.0,0.000,0.3,0.500,2.9,1.1,0.4,0.0,0.6
2025-26,Drew Peterson,CHO,6,10.7,0.8,0.9,0.750,0.0,0.000,0.9,0.667,1.5,0.3,0.5,0.2,0.0
2025-26,Xavier Tillman,CHO,13,3.8,0.4,0.8,0.200,0.2,0.000,0.3,0.250,1.0,0.5,0.2,0.1,0.2
