Season,Player,Team,GP,MIN,PTS,FGA,FG%,3PA,3P%,FTA,FT%,REB,AST,STL,BLK,TOV
2025-26,Stephen Curry,GSW,39,31.3,27.2,19.1,0.468,11.5,0.391,5.2,0.931,3.5,4.8,1.1,0.4,2.8
2025-26,Jimmy Butler III,GSW,38,31.1,20.0,12.2,0.519,2.2,0.376,7.6,0.864,5.6,4.9,1.4,0.2,1.6
2025-26,Kristaps Porzingis,GSW,11,23.2,17.6,12.4,0.449,5.4,0.373,5.5,0.820,4.5,2.5,0.7,1.3,1.7
2025-26,Brandin Podziemski,GSW,75,28.5,13.3,10.4,0.448,5.0,0.368,2.8,0.775,5.3,3.8,1.1,0.2,1.6
2025-26,De'Anthony Melton,GSW,43,22.9,12.7,11.2,0.410,5.1,0.284,2.6,0.827,3.2,2.5,1.6,0.4,1.9
2025-26,Moses Moody,GSW,60,25.7,12.1,9.3,0.440,6.3,0.401,1.9,0.770,3.3,1.6,1.0,0.6,1.0
2025-26,Jonathan Kuminga,GSW,20,23.8,12.1,9.7,0.454,2.7,0.321,3.3,0.742,5.9,2.5,0.4,0.3,2.3
2025-26,Gui Santos,GSW,64,20.1,8.9,6.5,0.506,3.2,0.356,1.7,0.722,3.9,2.3,0.9,0.3,1.5
2025-26,Draymond Green,GSW,62,27.5,8.6,7.5,0.418,4.7,0.322,1.2,0.684,5.5,5.4,0.9,0.6,2.7
2025-26,Al Horford,GSW,43,21.7,8.3,7.2,0.424,4.6,0.360,0.6,0.846,5.0,2.6,0.7,1.2,1.0
2025-26,Buddy Hield,GSW,44,17.5,8.0,6.8,0.433,4.4,0.344,0.8,0.794,2.5,1.5,0.8,0.2,1.0
2025-26,Quinten Post,GSW,67,17.3,7.7,6.6,0.440,4.1,0.336,0.6,0.791,4.0,1.4,0.4,0.5,0.8
2025-26,LJ Cryer,GSW,15,15.3,7.4,6.0,0.389,5.0,0.400,0.8,0.917,1.7,0.9,0.1,0.0,0.7
2025-26,Gary Payton II,GSW,67,15.3,7.3,5.6,0.577,1.8,0.308,0.5,0.588,3.6,1.7,0.9,0.3,0.9
2025-26,Pat Spencer,GSW,59,17.8,6.9,6.3,0.430,2.3,0.355,0.9,0.774,2.3,3.5,0.7,0.1,1.2
2025-26,Will Richard,GSW,64,20.4,6.9,5.3,0.479,3.2,0.348,0.8,0.852,2.5,1.4,1.2,0.1,0.8
2025-26,Nate Williams,GSW,11,13.3,6.2,4.5,0.500,1.5,0.412,1.2,0.846,1.8,0.8,0.3,0.0,0.8
2025-26,Seth Curry,GSW,5,11.8,5.4,3.6,0.556,1.6,0.500,0.6,1.000,1.4,1.4,0.4,0.0,0.0
2025-26,Trayce Jackson-Davis,GSW,36,11.4,4.2,2.8,0.588,0.0,0.000,1.4,0.558,3.1,0.9,0.4,0.5,0.5
2025-26,Malevy Leons,GSW,20,8.7,2.5,2.3,0.435,0.7,0.231,0.4,0.750,1.8,0.5,0.4,0.4,0.3
2025-26,Omer Yurtseven,GSW,8,9.4,2.1,2.1,0.294,0.4,0.000,1.5,0.583,2.8,0.5,0.3,0.0,1.0
