Season,Team,Conference,Seed,Wins,Losses,PPG,OPP_PPG,FG_PCT,ThreeP_PCT,FT_PCT,RPG,APG,SPG,BPG,TOPG,Tournament_Wins
2023-24,Connecticut,Big East,1,37,3,81.4,63.4,0.497,0.358,0.743,38.8,18.7,6.2,5.4,9.6,6
2023-24,Purdue,Big Ten,1,34,5,82.3,69.0,0.488,0.404,0.72,40.4,18.5,5.4,3.6,11.3,5
2023-24,Houston,Big 12,1,32,5,73.5,57.6,0.439,0.348,0.687,37.1,13.1,9.8,4.8,8.9,2
2023-24,North Carolina,ACC,1,29,8,81.9,70.5,0.45,0.359,0.759,41.1,14.5,5.8,4.1,10.1,2
2023-24,Iowa State,Big 12,2,29,8,75.3,61.5,0.463,0.358,0.702,33.9,15.7,10.3,3.1,10.5,2
2023-24,Marquette,Big East,2,27,10,78.1,69.8,0.478,0.352,0.703,32.8,15.9,8.6,3.5,10.0,2
2023-24,Tennessee,SEC,2,27,9,78.8,67.4,0.44,0.344,0.751,38.7,16.7,7.8,4.6,10.2,3
2023-24,Arizona,Pac-12,2,27,9,72.1,66.3,0.484,0.366,0.717,42.6,18.5,8.3,3.7,11.9,2
2023-24,Creighton,Big East,3,25,10,80.4,69.9,0.484,0.368,0.788,38.1,16.8,3.8,4.1,10.6,2
2023-24,Illinois,Big Ten,3,29,9,83.4,73.3,0.469,0.349,0.736,40.9,13.3,4.4,3.8,10.6,3
2023-24,Baylor,Big 12,3,24,11,80.4,71.1,0.483,0.389,0.732,35.1,14.7,6.7,3.1,12.0,1
2023-24,Kentucky,SEC,3,23,10,89.0,79.7,0.495,0.409,0.772,37.6,17.5,7.5,6.3,10.7,0
2023-24,Auburn,SEC,4,27,8,82.5,69.9,0.474,0.364,0.765,32.6,17.4,7.7,6.3,10.3,0
2023-24,Duke,ACC,4,27,9,78.6,66.3,0.475,0.377,0.723,36.6,15.3,6.5,3.7,9.7,3
2023-24,Kansas,Big 12,4,23,11,73.4,70.9,0.485,0.308,0.722,30.8,17.2,7.2,3.2,10.8,1
2023-24,Alabama,SEC,4,25,12,90.1,81.2,0.476,0.373,0.772,39.6,15.9,6.9,4.4,11.8,4
2023-24,San Diego State,Mountain West,5,26,11,74.1,66.7,0.44,0.315,0.733,37.8,13.0,7.4,4.0,11.2,2
2023-24,Wisconsin,Big Ten,5,22,14,74.7,70.0,0.461,0.349,0.755,34.0,12.7,6.2,1.6,9.9,0
2023-24,Gonzaga,WCC,5,27,8,84.5,69.1,0.518,0.361,0.721,38.7,16.7,6.7,3.9,9.8,2
2023-24,Saint Mary's,WCC,5,26,8,74.0,59.2,0.466,0.352,0.676,39.6,16.2,6.6,3.8,10.2,0
2023-24,BYU,Big 12,6,23,11,81.4,69.9,0.46,0.348,0.742,39.5,18.5,5.9,3.0,10.7,0
2023-24,Texas Tech,Big 12,6,23,11,75.3,69.6,0.451,0.359,0.78,34.9,14.7,6.0,2.5,11.1,0
2023-24,South Carolina,SEC,6,26,8,72.1,67.6,0.439,0.339,0.711,35.6,15.4,4.8,3.2,10.1,0
2023-24,Clemson,ACC,6,24,12,77.4,71.2,0.469,0.351,0.78,36.3,14.8,4.6,3.8,10.1,3
2023-24,Florida,SEC,7,24,12,85.6,79.2,0.458,0.345,0.715,42.3,15.2,6.7,5.3,11.7,0
2023-24,Dayton,Atlantic 10,7,25,8,75.9,66.8,0.483,0.4,0.72,31.9,14.4,5.6,3.5,9.7,1
2023-24,Texas,Big 12,7,21,13,75.4,68.9,0.469,0.355,0.757,34.7,15.1,7.2,4.4,11.6,1
2023-24,Washington State,Pac-12,7,25,10,73.5,70.0,0.457,0.35,0.719,34.0,12.1,4.5,4.6,9.9,1
2023-24,Utah State,Mountain West,8,28,7,79.7,71.3,0.491,0.333,0.72,35.8,16.3,6.8,4.2,11.0,1
2023-24,Nebraska,Big Ten,8,23,11,77.7,70.9,0.452,0.357,0.76,37.6,15.3,6.3,2.6,11.1,0
2023-24,Florida Atlantic,AAC,8,25,9,82.0,73.4,0.478,0.351,0.72,38.1,14.9,7.2,3.1,11.4,0
2023-24,Mississippi State,SEC,8,21,14,74.6,74.7,0.459,0.339,0.627,34.1,13.6,7.3,2.7,12.4,0
2023-24,Northwestern,Big Ten,9,22,12,75.7,73.5,0.46,0.424,0.761,28.3,15.4,6.4,2.9,7.7,1
2023-24,TCU,Big 12,9,21,13,76.6,75.4,0.454,0.388,0.718,30.7,16.1,7.8,3.3,11.6,0
2023-24,Texas A&M,SEC,9,21,15,76.0,72.0,0.402,0.293,0.707,42.8,11.4,6.9,3.0,11.4,1
2023-24,Michigan State,Big Ten,9,20,15,72.9,66.1,0.461,0.363,0.708,34.7,15.9,7.1,3.8,10.0,1
2023-24,Drake,MVC,10,28,7,81.8,72.2,0.49,0.367,0.733,32.1,15.9,6.3,1.5,8.4,0
2023-24,Nevada,Mountain West,10,26,8,75.9,66.9,0.474,0.363,0.72,34.3,15.0,6.3,3.6,10.1,0
2023-24,Colorado,Pac-12,10,26,11,79.3,71.7,0.495,0.391,0.784,36.9,16.2,6.0,2.2,12.6,2
2023-24,Colorado State,Mountain West,10,25,11,75.2,67.3,0.484,0.338,0.752,33.4,18.0,6.3,3.1,10.4,1
2023-24,NC State,ACC,11,26,15,73.4,74.7,0.434,0.348,0.756,32.5,11.8,6.7,3.6,9.6,4
2023-24,New Mexico,Mountain West,11,26,10,81.0,70.7,0.455,0.328,0.707,39.7,14.6,8.7,4.9,10.0,0
2023-24,Oregon,Pac-12,11,24,12,75.6,72.3,0.458,0.338,0.719,34.4,13.8,7.2,3.6,10.2,1
2023-24,Duquesne,Atlantic 10,11,25,12,70.6,66.7,0.436,0.34,0.72,34.8,13.4,7.5,4.3,11.7,1
2023-24,UAB,AAC,12,23,12,77.5,75.1,0.449,0.327,0.746,38.0,13.5,6.7,4.5,11.6,0
2023-24,James Madison,Sun Belt,12,32,4,83.2,69.6,0.476,0.36,0.703,38.6,16.0,9.0,3.1,10.9,1
2023-24,McNeese,Southland,12,30,4,80.0,62.2,0.487,0.383,0.693,36.1,14.9,10.3,3.4,9.7,0
2023-24,Grand Canyon,WAC,12,30,5,79.1,67.0,0.46,0.336,0.749,38.1,12.1,8.3,5.5,12.3,1
2023-24,Yale,Ivy,13,23,10,74.7,67.5,0.467,0.351,0.707,36.5,15.0,6.2,3.2,9.6,1
2023-24,Samford,Southern,13,29,6,86.1,74.5,0.49,0.395,0.723,35.8,17.7,9.9,3.7,13.0,0
2023-24,Vermont,America East,13,28,7,71.6,63.0,0.455,0.342,0.716,34.6,13.7,5.9,3.9,9.2,0
2023-24,Charleston,CAA,13,27,8,80.9,73.6,0.442,0.343,0.722,39.8,15.3,6.3,3.1,9.9,0
2023-24,Oakland,Horizon,14,24,12,76.4,73.2,0.446,0.355,0.751,35.9,14.5,6.6,2.8,11.0,1
2023-24,Morehead State,OVC,14,26,9,75.3,63.4,0.467,0.361,0.706,39.2,15.0,5.9,4.6,11.8,0
2023-24,Colgate,Patriot,14,25,10,71.4,64.1,0.469,0.359,0.681,35.6,15.0,6.5,3.5,10.5,0
2023-24,Akron,MAC,14,24,11,73.6,66.2,0.453,0.324,0.727,36.5,13.0,5.6,2.9,11.3,0
2023-24,Western Kentucky,Conference USA,15,22,12,80.2,74.4,0.466,0.34,0.72,39.9,13.4,7.6,3.2,13.8,0
2023-24,South Dakota State,Summit,15,22,13,76.4,71.1,0.482,0.365,0.71,35.4,12.9,6.1,3.2,11.3,0
2023-24,Long Beach State,Big West,15,21,15,77.4,76.0,0.444,0.305,0.709,38.9,15.3,7.9,4.2,12.6,0
2023-24,Saint Peter's,MAAC,15,19,14,64.8,64.0,0.393,0.325,0.712,35.2,10.6,7.1,4.2,12.5,0
2023-24,Stetson,ASUN,16,22,13,76.8,73.3,0.463,0.365,0.766,34.7,13.3,5.3,3.1,10.5,0
2023-24,Grambling,SWAC,16,21,15,67.7,69.6,0.44,0.338,0.708,32.2,9.8,7.4,3.2,13.1,1
2023-24,Longwood,Big South,16,21,14,74.7,68.5,0.453,0.341,0.687,38.4,12.7,7.0,2.5,12.7,0
2023-24,Wagner,NEC,16,17,16,63.7,63.1,0.396,0.327,0.704,35.8,12.8,5.9,2.3,9.9,1
