Season,Team,Conference,Seed,Wins,Losses,PPG,OPP_PPG,FG_PCT,ThreeP_PCT,FT_PCT,RPG,APG,SPG,BPG,TOPG,Tournament_Wins
2024-25,Florida,SEC,1,30,4,85.4,66.8,0.473,0.355,0.718,39.1,15.9,7.2,4.1,10.8,6
2024-25,Houston,Big 12,1,30,4,74.2,57.8,0.458,0.398,0.741,36.5,13.8,8.4,4.5,9.2,5
2024-25,Duke,ACC,1,31,3,82.7,65.2,0.488,0.377,0.784,35.9,16.8,6.9,4.2,9.8,5
2024-25,Auburn,SEC,1,28,5,83.8,68.4,0.483,0.368,0.740,34.8,16.5,7.5,5.8,10.5,4
2024-25,Alabama,SEC,2,25,8,91.1,80.5,0.483,0.350,0.716,39.3,16.8,7.0,4.0,11.5,2
2024-25,Tennessee,SEC,2,27,7,74.7,63.5,0.455,0.340,0.743,37.2,14.8,7.2,4.8,10.0,2
2024-25,Michigan State,Big Ten,2,27,6,78.9,67.0,0.471,0.359,0.763,36.8,16.8,7.1,3.8,10.2,2
2024-25,St. John's,Big East,2,30,4,78.5,68.2,0.468,0.355,0.732,36.4,15.9,6.8,3.5,10.4,1
2024-25,Texas Tech,Big 12,3,25,8,80.9,68.5,0.470,0.379,0.764,35.2,16.6,6.5,3.2,10.8,3
2024-25,Iowa State,Big 12,3,24,9,80.4,66.8,0.480,0.358,0.757,34.5,16.2,8.8,3.4,10.0,1
2024-25,Wisconsin,Big Ten,3,26,9,79.7,68.8,0.452,0.349,0.828,35.0,14.5,6.2,2.8,9.5,1
2024-25,Kentucky,SEC,3,22,11,85.3,75.2,0.482,0.374,0.738,36.0,16.8,7.0,5.5,10.8,1
2024-25,Arizona,Big 12,4,22,12,81.7,72.5,0.473,0.324,0.784,36.2,16.3,6.5,3.8,11.0,1
2024-25,Maryland,Big Ten,4,25,8,81.7,70.0,0.472,0.372,0.755,35.5,15.8,6.8,3.5,10.5,1
2024-25,Purdue,Big Ten,4,22,11,77.5,69.5,0.475,0.355,0.735,37.0,16.0,5.5,3.2,10.8,1
2024-25,Texas A&M,SEC,4,22,10,74.3,67.0,0.416,0.311,0.695,36.9,13.5,6.9,3.5,11.2,1
2024-25,Clemson,ACC,5,27,6,76.3,67.5,0.465,0.372,0.766,35.0,14.8,6.0,3.8,10.0,0
2024-25,Michigan,Big Ten,5,25,9,76.0,68.0,0.460,0.348,0.740,34.9,16.1,6.5,3.5,10.5,2
2024-25,Memphis,American,5,29,5,80.1,68.8,0.474,0.380,0.702,36.2,15.5,7.8,4.0,11.0,0
2024-25,San Diego State,Mountain West,5,26,8,73.5,65.2,0.448,0.335,0.725,36.0,13.5,7.5,3.8,10.0,0
2024-25,BYU,Big 12,6,24,9,81.0,70.5,0.482,0.371,0.705,35.8,17.2,6.2,3.0,10.5,3
2024-25,Missouri,SEC,6,22,11,84.5,74.0,0.485,0.370,0.725,35.5,16.0,6.8,3.5,11.0,0
2024-25,Ole Miss,SEC,6,22,11,78.0,70.5,0.458,0.345,0.730,35.2,15.0,6.5,3.8,10.8,2
2024-25,Illinois,Big Ten,6,21,12,83.8,74.5,0.450,0.311,0.759,39.6,14.8,7.5,4.0,10.5,1
2024-25,Saint Mary's,WCC,7,28,5,73.5,62.0,0.455,0.323,0.694,36.6,14.5,6.6,3.5,9.8,1
2024-25,Kansas,Big 12,7,21,12,76.2,70.0,0.471,0.352,0.711,34.8,17.7,7.2,3.2,10.5,0
2024-25,UCLA,Big Ten,7,22,10,74.8,67.5,0.466,0.352,0.703,34.5,16.3,6.0,3.5,10.0,1
2024-25,Marquette,Big East,7,23,10,77.5,69.0,0.475,0.360,0.720,34.0,15.8,7.0,3.2,10.2,0
2024-25,UConn,Big East,8,23,10,76.5,69.5,0.465,0.348,0.745,35.0,17.6,6.5,4.0,10.5,1
2024-25,Louisville,ACC,8,27,7,75.8,66.5,0.460,0.350,0.730,34.8,15.0,6.8,3.5,10.0,0
2024-25,Mississippi State,SEC,8,21,12,79.8,72.5,0.451,0.314,0.700,35.5,14.2,7.3,3.0,11.5,0
2024-25,Gonzaga,WCC,8,25,8,86.6,72.0,0.500,0.344,0.801,34.9,19.7,6.7,3.8,10.0,1
2024-25,Baylor,Big 12,9,19,14,76.5,72.0,0.448,0.351,0.745,34.5,14.5,6.5,3.0,11.0,1
2024-25,Creighton,Big East,9,24,10,75.2,68.5,0.475,0.339,0.733,34.7,17.1,5.8,3.5,10.2,1
2024-25,Oklahoma,SEC,9,20,13,74.0,70.5,0.455,0.340,0.720,34.0,14.8,6.5,3.2,10.8,0
2024-25,Georgia,SEC,9,20,12,75.6,69.0,0.464,0.335,0.717,35.0,14.5,6.8,3.5,10.5,0
2024-25,Vanderbilt,SEC,10,20,12,79.6,72.0,0.451,0.325,0.747,35.0,15.0,6.5,3.2,10.5,0
2024-25,Arkansas,SEC,10,20,13,76.6,71.0,0.466,0.333,0.734,35.5,15.2,7.0,3.5,11.0,2
2024-25,New Mexico,Mountain West,10,26,7,81.2,70.5,0.459,0.347,0.687,37.5,14.6,8.7,4.2,10.5,1
2024-25,Colorado State,Mountain West,12,25,9,75.2,67.0,0.480,0.366,0.775,33.5,16.6,6.3,3.0,10.2,1
2024-25,Utah State,Mountain West,10,26,7,80.9,69.5,0.490,0.365,0.703,35.5,17.4,6.8,3.8,10.5,0
2024-25,VCU,Atlantic 10,11,28,6,74.5,65.0,0.455,0.340,0.710,35.5,14.0,8.1,5.5,10.5,0
2024-25,North Carolina,ACC,11,22,13,80.8,73.5,0.476,0.353,0.737,36.5,15.0,6.0,3.5,10.5,1
2024-25,Xavier,Big East,11,21,11,76.0,69.5,0.465,0.350,0.725,34.5,16.9,6.5,3.2,10.5,1
2024-25,Drake,Missouri Valley,11,30,3,70.1,60.5,0.481,0.355,0.705,33.0,14.5,6.3,2.5,9.0,1
2024-25,Liberty,Conference USA,12,28,6,76.6,65.5,0.494,0.390,0.661,35.0,14.5,7.0,3.5,10.0,0
2024-25,McNeese,Southland,12,27,6,78.5,66.0,0.480,0.375,0.700,35.5,15.0,9.5,3.5,10.0,1
2024-25,UC San Diego,Big West,12,30,4,79.8,66.0,0.466,0.366,0.746,36.0,15.5,9.9,2.2,10.0,0
2024-25,Grand Canyon,WAC,13,26,7,77.0,66.5,0.465,0.345,0.735,37.0,13.0,7.5,4.8,11.5,0
2024-25,Akron,MAC,13,28,6,84.6,72.0,0.473,0.364,0.753,35.5,18.1,6.5,3.5,10.5,0
2024-25,Yale,Ivy,13,22,7,81.7,70.0,0.490,0.388,0.732,36.0,15.5,6.2,3.2,9.5,0
2024-25,High Point,Big South,13,29,5,82.2,68.5,0.494,0.364,0.763,36.0,15.0,6.5,3.5,10.0,0
2024-25,Montana,Big Sky,14,25,9,74.5,67.0,0.455,0.345,0.720,34.5,14.0,6.0,3.0,10.5,0
2024-25,Lipscomb,ASUN,14,25,9,75.0,68.0,0.460,0.350,0.710,35.0,14.5,6.5,3.2,10.8,0
2024-25,UNC Wilmington,CAA,14,27,7,79.4,69.5,0.472,0.339,0.748,36.0,14.8,6.8,3.0,10.5,0
2024-25,Troy,Southern,14,19,15,72.0,68.5,0.445,0.340,0.700,34.0,13.5,6.0,3.0,11.0,0
2024-25,Robert Morris,Horizon,15,26,8,74.0,67.5,0.455,0.345,0.715,34.5,14.0,6.5,3.0,10.5,1
2024-25,Omaha,Summit,15,22,12,73.5,68.0,0.450,0.340,0.710,34.0,14.0,6.0,2.8,10.5,0
2024-25,Wofford,Southern,15,19,15,75.3,70.5,0.453,0.341,0.661,34.8,14.0,6.0,3.0,10.5,0
2024-25,Norfolk State,MEAC,16,24,10,72.0,68.0,0.440,0.330,0.700,34.0,13.0,6.5,3.0,11.0,0
2024-25,Mount St. Mary's,MAAC,16,22,12,70.4,66.5,0.442,0.348,0.734,33.5,13.5,6.0,3.0,10.5,1
2024-25,Alabama State,SWAC,16,19,15,73.4,72.0,0.405,0.330,0.692,33.0,12.5,6.5,3.0,12.0,0
2024-25,SIU Edwardsville,Ohio Valley,16,22,11,72.6,67.5,0.434,0.341,0.676,34.8,13.5,6.0,3.0,11.0,0
2024-25,San Diego State,Mountain West,11,22,12,73.0,66.5,0.445,0.335,0.720,35.5,13.5,7.0,3.5,10.5,0
2024-25,Saint Francis,NEC,16,20,14,70.0,68.0,0.435,0.330,0.700,33.5,13.0,6.0,2.8,11.0,0
2024-25,American,Patriot,16,21,12,71.0,67.5,0.440,0.335,0.705,33.5,13.5,6.0,2.8,10.8,0
2024-25,Texas,Big 12,11,18,14,74.5,72.0,0.450,0.340,0.725,34.0,14.5,6.5,3.0,11.0,0
