Season,Player,Team,GP,MIN,PTS,FGA,FG%,3PA,3P%,FTA,FT%,REB,AST,STL,BLK,TOV
2023-24,Shai Gilgeous-Alexander,OKC,75,34.0,30.1,19.8,0.535,3.6,0.353,8.7,0.874,5.5,6.2,2.0,0.9,2.2
2023-24,Jalen Williams,OKC,71,31.3,19.1,14.0,0.54,3.4,0.427,3.1,0.814,4.0,4.5,1.1,0.6,1.7
2023-24,Chet Holmgren,OKC,82,29.4,16.5,11.6,0.53,4.3,0.37,3.4,0.793,7.9,2.4,0.6,2.3,1.6
2023-24,Josh Giddey,OKC,80,25.2,12.3,10.6,0.475,3.0,0.337,1.6,0.806,6.4,4.8,0.7,0.6,2.1
2023-24,Luguentz Dort,OKC,79,28.4,10.9,8.3,0.438,5.0,0.394,2.0,0.826,3.6,1.4,0.9,0.6,0.9
2023-24,Isaiah Joe,OKC,78,18.5,8.2,6.2,0.458,4.5,0.416,0.7,0.865,2.3,1.3,0.6,0.3,0.6
2023-24,Aaron Wiggins,OKC,78,15.7,6.9,4.8,0.562,1.6,0.492,0.9,0.789,2.4,1.1,0.7,0.2,0.7
2023-24,Cason Wallace,OKC,82,20.6,6.8,5.4,0.491,2.9,0.419,0.5,0.784,2.3,1.5,0.9,0.5,0.5
2023-24,Gordon Hayward,OKC,26,17.2,5.3,4.1,0.453,1.1,0.517,1.5,0.692,2.5,1.6,0.5,0.0,0.6
2023-24,Kenrich Williams,OKC,69,14.9,4.7,4.1,0.468,2.0,0.397,0.2,0.5,3.0,1.3,0.6,0.1,0.5
2023-24,Ousmane Dieng,OKC,33,11.1,4.0,3.5,0.422,2.1,0.3,0.5,0.875,1.5,1.1,0.2,0.2,0.6
2023-24,Jaylin Williams,OKC,69,13.0,4.0,3.3,0.417,2.1,0.368,0.6,0.805,3.4,1.6,0.4,0.4,0.5
2023-24,Tre Mann,OKC,13,9.2,3.8,3.1,0.5,1.5,0.421,0.1,1.0,1.8,1.5,0.2,0.0,0.7
2023-24,Lindy Waters III,OKC,38,7.4,3.6,2.7,0.471,2.2,0.435,0.1,1.0,1.1,0.6,0.1,0.2,0.2
2023-24,Vasilije Micic,OKC,30,12.0,3.3,3.0,0.407,1.5,0.244,0.6,0.737,0.8,2.5,0.3,0.1,1.0
2023-24,Davis Bertans,OKC,15,6.1,2.9,1.7,0.385,1.6,0.417,1.0,0.933,0.7,0.6,0.2,0.2,0.1
2023-24,Olivier Sarr,OKC,15,6.5,2.3,1.3,0.579,0.4,0.333,1.0,0.667,2.4,0.1,0.0,0.5,0.2
2023-24,Bismack Biyombo,OKC,10,7.3,1.8,1.2,0.583,0.0,0.0,0.8,0.5,1.8,0.2,0.1,0.3,0.4
2023-24,Adam Flagler,OKC,2,7.0,1.5,3.5,0.0,3.0,0.167,0.0,0.0,0.0,2.0,0.0,0.0,0.0
2023-24,Keyontae Johnson,OKC,9,7.3,1.2,1.8,0.313,0.3,0.333,0.0,0.0,1.1,0.4,0.1,0.0,0.4
2023-24,Aleksej Pokusevski,OKC,10,6.0,1.2,1.6,0.25,1.1,0.182,0.4,0.5,1.0,0.5,0.1,0.1,0.3
2023-24,Mike Muscala,OKC,16,5.7,1.1,1.4,0.364,0.7,0.091,0.1,0.0,1.3,0.3,0.1,0.1,0.3
