Season,Player,Team,GP,MIN,PTS,FGA,FG%,3PA,3P%,FTA,FT%,REB,AST,STL,BLK,TOV
2024-25,Shai Gilgeous-Alexander,OKC,76,34.2,32.7,21.8,0.519,5.7,0.375,8.8,0.898,5.0,6.4,1.7,1.0,2.4
2024-25,Jalen Williams,OKC,69,32.4,21.6,16.9,0.484,4.9,0.365,4.3,0.789,5.3,5.1,1.6,0.7,2.2
2024-25,Chet Holmgren,OKC,32,27.4,15.0,10.7,0.490,3.6,0.379,4.2,0.754,8.0,2.0,0.7,2.2,1.8
2024-25,Aaron Wiggins,OKC,76,22.9,12.0,9.6,0.488,4.5,0.383,1.2,0.831,3.9,1.8,0.8,0.2,0.9
2024-25,Isaiah Hartenstein,OKC,57,27.9,11.2,8.4,0.581,0.3,0.000,2.1,0.675,10.7,3.8,0.8,1.1,1.7
2024-25,Luguentz Dort,OKC,71,29.2,10.1,8.4,0.435,5.8,0.412,0.6,0.717,4.1,1.6,1.1,0.5,0.7
2024-25,Isaiah Joe,OKC,74,21.7,10.2,7.9,0.440,6.3,0.412,0.8,0.821,2.6,1.6,0.6,0.1,0.5
2024-25,Cason Wallace,OKC,68,27.6,8.4,7.2,0.474,3.1,0.356,0.5,0.811,3.4,2.5,1.8,0.5,0.9
2024-25,Alex Caruso,OKC,54,19.3,7.1,5.8,0.446,3.1,0.353,0.9,0.824,2.9,2.5,1.6,0.6,0.7
2024-25,Ajay Mitchell,OKC,36,16.6,6.5,5.1,0.495,1.7,0.383,1.0,0.829,1.9,1.8,0.7,0.1,0.8
2024-25,Kenrich Williams,OKC,69,16.4,6.3,5.1,0.483,2.5,0.386,0.6,0.718,3.5,1.4,0.6,0.1,0.6
2024-25,Jaylin Williams,OKC,47,16.7,5.9,4.7,0.439,3.3,0.399,0.6,0.767,5.6,2.6,0.5,0.6,0.7
2024-25,Branden Carlson,OKC,32,7.7,3.8,3.0,0.443,2.1,0.333,0.6,0.778,1.7,0.4,0.2,0.7,0.2
2024-25,Ousmane Dieng,OKC,37,10.9,3.8,3.4,0.432,1.9,0.324,0.4,0.688,2.2,0.8,0.5,0.2,0.5
2024-25,Dillon Jones,OKC,54,10.2,2.5,2.5,0.383,1.2,0.254,0.5,0.607,2.2,1.1,0.3,0.1,0.5
2024-25,Adam Flagler,OKC,37,5.5,1.8,2.6,0.260,1.9,0.194,0.1,0.500,0.7,0.3,0.2,0.1,0.1
2024-25,Alex Ducas,OKC,21,6.0,1.7,1.4,0.400,1.0,0.476,0.1,1.000,1.2,0.2,0.2,0.0,0.2
2024-25,Malevy Leons,OKC,6,3.5,0.3,0.3,0.000,0.2,0.000,0.7,0.500,0.5,0.2,0.0,0.0,0.2
2024-25,Alex Reese,OKC,1,2.0,2.0,1.0,1.000,0.0,0.000,0.0,0.000,1.0,0.0,0.0,0.0,0.0
