Season,Player,Position,GP,Pass_YDS,Pass_TD,Rush_YDS,Rush_TD,Rec,Rec_YDS,Rec_TD,Tackles,Sacks,INT,Total_TD
2023,Lamar Jackson,QB,16,3678,24,821,5,0,0,0,0,0.0,0,29
2023,Tyler Huntley,QB,5,203,3,55,0,0,0,0,0,0.0,0,3
2023,Gus Edwards,RB,17,0,0,810,13,12,180,0,0,0.0,0,13
2023,Justice Hill,RB,16,0,0,387,3,28,206,1,0,0.0,0,4
2023,Keaton Mitchell,RB,8,0,0,396,2,9,93,0,0,0.0,0,2
2023,Zay Flowers,WR,16,0,0,56,1,77,858,5,0,0.0,0,6
2023,Odell Beckham Jr.,WR,14,0,0,0,0,35,565,3,0,0.0,0,3
2023,Rashod Bateman,WR,16,0,0,18,0,32,367,1,0,0.0,0,1
2023,Nelson Agholor,WR,17,0,0,0,0,35,381,4,0,0.0,0,4
2023,Mark Andrews,TE,10,0,0,0,0,45,544,6,0,0.0,0,6
2023,Isaiah Likely,TE,17,0,0,0,0,30,411,5,0,0.0,0,5
2023,Justin Tucker,K,17,0,0,0,0,0,0,0,0,0.0,0,0
2023,Roquan Smith,LB,16,0,0,0,0,0,0,0,158,1.5,1,0
2023,Patrick Queen,LB,17,0,0,0,0,0,0,0,133,3.5,1,0
2023,Kyle Hamilton,S,15,0,0,0,0,0,0,0,81,3.0,4,0
2023,Geno Stone,S,17,0,0,0,0,0,0,0,66,0.0,7,0
2023,Justin Madubuike,DT,17,0,0,0,0,0,0,0,56,13.0,0,0
2023,Jadeveon Clowney,LB,17,0,0,0,0,0,0,0,43,9.5,0,0
2023,Kyle Van Noy,LB,14,0,0,0,0,0,0,0,30,9.0,0,0
2023,Marlon Humphrey,CB,10,0,0,0,0,0,0,0,26,0.0,1,0
2023,Odafe Oweh,LB,13,0,0,0,0,0,0,0,23,5.0,0,0
