Season,Player,Position,Age,Club,Caps,Goals,Assists,Yellow_Cards
2024,Victor Osimhen,FWD,25,Napoli,35,24,5,6
2024,Ademola Lookman,FWD,26,Atalanta,34,10,7,3
2024,Samuel Chukwueze,FWD,25,AC Milan,42,6,8,4
2024,Moses Simon,FWD,28,Nantes,55,8,12,5
2024,Kelechi Iheanacho,FWD,27,Leicester City,47,18,4,3
2024,Paul Onuachu,FWD,30,Trabzonspor,17,4,1,2
2024,Terem Moffi,FWD,24,OGC Nice,10,1,0,1
2024,Ahmed Musa,FWD,31,Sivasspor,109,16,14,9
2024,Alex Iwobi,MID,28,Fulham,81,10,18,7
2024,Wilfred Ndidi,MID,27,Leicester City,52,3,2,10
2024,Frank Onyeka,MID,26,Brentford,22,0,2,5
2024,Raphael Onyedika,MID,23,Club Brugge,16,2,1,3
2024,Joe Aribo,MID,27,Southampton,25,2,3,2
2024,Alhassan Yusuf,MID,22,Royal Antwerp,8,0,1,2
2024,William Troost-Ekong,DEF,30,PAOK,73,8,2,10
2024,Bright Osayi-Samuel,DEF,26,Fenerbahce,28,1,4,5
2024,Calvin Bassey,DEF,24,Fulham,24,0,1,4
2024,Semi Ajayi,DEF,30,West Bromwich Albion,35,3,0,6
2024,Ola Aina,DEF,27,Nottingham Forest,33,1,5,4
2024,Zaidu Sanusi,DEF,27,FC Porto,15,0,2,3
2024,Bruno Onyemaechi,DEF,25,Boavista,10,0,1,2
2024,Chidozie Awaziem,DEF,27,Boavista,32,1,0,5
2024,Kenneth Omeruo,DEF,30,Kasimpasa,56,2,1,7
2024,Stanley Nwabali,GK,28,Chippa United,12,0,0,1
2024,Francis Uzoho,GK,25,Omonia Nicosia,36,0,0,2
